benchmark,benchmark_file,difficulty,model,model_label,cheatsheet,cheatsheet_label,total,accuracy,f1_score,true_accuracy,false_accuracy,parse_success_rate,avg_time_s,estimated_cost_usd,cost_basis,timestamp
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26c,v26c,50,0.9200,0.8333,1.0000,0.9000,1.0000,29.40,0.166467,exact,2026-04-13 13:38:09
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26d_gpt-oss-120b,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26d_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26d,v26d,50,0.9200,0.8000,0.8000,0.9500,0.9600,24.01,0.187935,exact,2026-04-13 17:59:49
normal_balanced60_true30_false30_rotation0001_20260403_163406,normal_balanced60_true30_false30_rotation0001_20260403_163406.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.8833,0.8955,1.0000,0.7667,1.0000,13.10,0.044842,exact,2026-04-03 10:49:24
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.9333,0.9375,1.0000,0.8667,1.0000,9.33,0.045096,exact,2026-04-03 13:08:38
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.8000,0.7857,0.7333,0.8667,0.8667,14.46,0.065778,exact,2026-04-03 15:01:40
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,60,0.9333,0.9375,1.0000,0.8667,1.0000,13.11,0.056003,exact,2026-04-03 18:13:14
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24a,v24a,60,0.8833,0.8852,0.9000,0.8667,0.9667,17.61,0.075449,exact,2026-04-05 17:04:29
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24b,v24b,60,0.9167,0.9231,1.0000,0.8333,0.9500,17.67,0.060510,exact,2026-04-05 17:28:29
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24c,v24c,60,0.9167,0.9180,0.9333,0.9000,0.9833,17.39,0.070953,exact,2026-04-05 18:51:39
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24d,v24d,60,0.8833,0.8852,0.9000,0.8667,0.9667,23.39,0.068867,exact,2026-04-05 19:25:45
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24e,v24e,60,0.9000,0.9032,0.9333,0.8667,0.9833,13.78,0.068222,exact,2026-04-06 17:59:56
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24f,v24f,60,0.9000,0.9062,0.9667,0.8333,1.0000,14.32,0.066927,exact,2026-04-06 18:19:17
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24g,v24g,60,0.9167,0.9206,0.9667,0.8667,1.0000,18.96,0.066076,exact,2026-04-06 18:45:25
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24h,v24h,60,0.9167,0.9231,1.0000,0.8333,1.0000,13.31,0.053408,exact,2026-04-06 19:16:41
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24i,v24i,60,0.9167,0.9231,1.0000,0.8333,0.9833,16.40,0.078895,exact,2026-04-07 17:19:18
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9333,0.9375,1.0000,0.8667,1.0000,14.06,0.076143,exact,2026-04-07 18:26:07
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.6667,0.7297,0.9000,0.4333,0.9667,23.20,0.068309,exact,2026-04-07 19:21:30
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9167,0.9206,0.9667,0.8667,1.0000,19.39,0.081347,exact,2026-04-07 19:41:43
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9000,0.9091,1.0000,0.8000,1.0000,14.74,0.081630,exact,2026-04-07 20:20:47
normal_balanced60_true30_false30_rotation0013_20260414_010332_v26d_gpt-oss-120b,normal_balanced60_true30_false30_rotation0013_20260414_010332_v26d_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26d,v26d,60,0.7667,0.7308,0.6333,0.9000,0.9333,38.09,0.246740,exact,2026-04-13 20:21:52
normal_balanced60_true30_false30_rotation0013_20260414_010332_v26e_gpt-oss-120b,normal_balanced60_true30_false30_rotation0013_20260414_010332_v26e_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26e,v26e,60,0.9000,0.9091,1.0000,0.8000,1.0000,17.18,0.216130,exact,2026-04-13 21:06:49
normal_v23c_llama-3-3-70b-instruct,normal_v23c_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,1,1.0000,1.0000,1.0000,0.0000,1.0000,252.54,0.000936,exact,2026-04-11 15:54:19
